"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Salesforce Browser Testing","0","Page Object Coverage","1","0","navex/workspaceManager","0"
"0","Salesforce Browser Testing","3","Page Object Coverage","0","0","aura/btHomePage","0"
"0","Salesforce Browser Testing","0","Page Object Coverage","2","0","salesforceapp/record/slidePanel","0"
"0","Salesforce Browser Testing","3","Page Object Coverage","0","0","global/header","0"
"0","Salesforce Browser Testing","0","Page Object Coverage","3","0","global/globalCreate","0"
"0","Salesforce Browser Testing","0","Page Object Coverage","1","0","account_detail coverage","0"
"0","Salesforce Browser Testing","2","Page Object Coverage","0","0","global/utilityBarContainer","0"
"0","Salesforce Browser Testing","0","Page Object Coverage","1","0","home coverage","0"
"0","Salesforce Browser Testing","2","Page Object Coverage","0","0","runtime_sales/lightningPrimitiveBubble","0"
"0","Salesforce Browser Testing","3","Page Object Coverage","0","0","devops/center/baseComponent","0"
"0","Salesforce Browser Testing","2","Page Object Coverage","0","0","lightning/primitiveBubble","0"
"0","Salesforce Browser Testing","1","Page Object Coverage","0","0","setup/setupNavTree","0"
"0","Salesforce Browser Testing","0","Page Object Coverage","1","0","setup coverage","0"
"1","Salesforce Browser Testing","0","Page Object Coverage","0","0","global/recordHomeWithSubheaderTemplateDesktop","0"
"0","Salesforce Browser Testing","1","Page Object Coverage","0","0","navex/workspace","0"
"1","Salesforce Browser Testing","0","Page Object Coverage","0","0","global/recordHomeTemplateDesktop","0"
"0","Salesforce Browser Testing","1","Page Object Coverage","0","0","setup/agenticSetupHome","0"
